"trials.thisRepN	trials.thisTrialN	trials.thisN	trials.thisIndex	textbox.started	textbox.stopped	key_resp_2.keys	key_resp_2.rt	key_resp_2.started	key_resp_2.stopped	block_type	learning_type	trial_type	image_path	x_image	trial	person.started	person.stopped	text.started	text.stopped	text_2.started	text_2.stopped	key_resp.keys	key_resp.started	key_resp.stopped	text_4.started	text_4.stopped	line.started	line.stopped	text_5.started	text_5.stopped	reward_a	reward_d	reward	image.started	image.stopped	text_3.started	text_3.stopped	line_2.started	line_2.stopped	text_6.started	text_6.stopped	key_resp.rt	session	exp_id	age	sex(M or F)	date	expName	psychopyVersion	frameRate"
"24	0	24	0							Social	UD	Observational	images/Observational_trial.png	-0.5	25	158.1663497	None	159.1842705	160.4337075	159.9334732	160.4337075	None	162.1961847	None	160.9303598	161.929638	157.6733379	None	158.1663497	None	0.3	0.7	?	162.2213422	None	162.7121274	None	162.2213422	None	162.2213422	None		2	1	23	M	2021_Aug_01_2035	Social Reinforcement Learning	2021.1.4	60.05485302"
"25	0	25	0							Social	UD	Private	images/Private_trial.png	0.5	26	164.7107408	None	165.7090922	166.9759498	166.458532	166.9582104	d	166.9582104	None	None	None	164.2138744	None	164.7107408	None	0.3	0.7	-1	167.3099845	None	167.7905301	None	167.3099845	None	167.3099845	None	0.258963944	2	1	23	M	2021_Aug_01_2035	Social Reinforcement Learning	2021.1.4	60.05485302"
"26	0	26	0							Social	UD	Observational	images/Observational_trial.png	-0.5	27	169.7760642	None	170.7711109	172.020397	171.5208841	172.020397	None	173.7850466	None	172.5199087	173.5352735	169.2718307	None	169.7760642	None	0.3	0.7	?	173.7964948	None	174.2917288	None	173.7964948	None	173.7964948	None		2	1	23	M	2021_Aug_01_2035	Social Reinforcement Learning	2021.1.4	60.05485302"
"27	0	27	0							Social	UD	Private	images/Private_trial.png	0.5	28	176.3167768	None	177.3153364	178.5807276	178.0645076	178.5640651	a	178.5640651	None	None	None	175.8227984	None	176.3167768	None	0.3	0.7	1	178.8416851	None	179.3320985	None	178.8416851	None	178.8416851	None	0.224817995	2	1	23	M	2021_Aug_01_2035	Social Reinforcement Learning	2021.1.4	60.05485302"
"28	0	28	0							Social	UD	Observational	images/Observational_trial.png	-0.5	29	181.3453184	None	182.3438389	183.6080343	183.0965337	183.6080343	None	185.3579181	None	184.1063916	185.1085514	180.8500513	None	181.3453184	None	0.3	0.7	?	185.3863464	None	185.8754861	None	185.3863464	None	185.3863464	None		2	1	23	M	2021_Aug_01_2035	Social Reinforcement Learning	2021.1.4	60.05485302"
"29	0	29	0							Social	UD	Private	images/Private_trial.png	0.5	30	187.8943574	None	188.8889451	190.1532597	189.6367351	190.1366944	a	190.1366944	None	None	None	187.4030199	None	187.8943574	None	0.3	0.7	-1	190.5347346	None	191.0189412	None	190.5347346	None	190.5347346	None	0.362237738	2	1	23	M	2021_Aug_01_2035	Social Reinforcement Learning	2021.1.4	60.05485302"
"30	0	30	0							Social	UD	Observational	images/Observational_trial.png	-0.5	31	193.0341922	None	194.0334301	195.2821031	194.7821608	195.2821031	None	197.0488698	None	195.7823464	196.7848278	192.5465821	None	193.0341922	None	0.3	0.7	?	197.1229739	None	197.5962006	None	197.1229739	None	197.1229739	None		2	1	23	M	2021_Aug_01_2035	Social Reinforcement Learning	2021.1.4	60.05485302"
"31	0	31	0							Social	UD	Observational	images/Observational_trial.png	-0.5	32	199.5948539	None	200.5941625	201.8588935	201.3425463	201.8422358	None	203.6072346	None	202.3419106	203.3575124	199.0970551	None	199.5948539	None	0.3	0.7	?	203.6114484	None	204.1068748	None	203.6114484	None	203.6114484	None		2	1	23	M	2021_Aug_01_2035	Social Reinforcement Learning	2021.1.4	60.05485302"
"32	0	32	0							Social	UD	Observational	images/Observational_trial.png	-0.5	33	206.1219092	None	207.1213174	208.3861619	207.8743693	208.3861619	None	210.135988	None	208.8700829	209.8787995	205.6236064	None	206.1219092	None	0.3	0.7	?	210.159064	None	210.6340771	212.1507432	210.159064	None	210.159064	None		2	1	23	M	2021_Aug_01_2035	Social Reinforcement Learning	2021.1.4	60.05485302"
"33	0	33	0							Social	UD	Observational	images/Observational_trial.png	-0.5	34	212.6497745	None	213.6484036	214.9154541	214.3974349	214.8967823	None	216.6784085	None	215.4143783	216.428691	212.166006	None	212.6497745	None	0.3	0.7	?	216.6829597	None	217.1779736	None	216.6829597	None	216.6829597	None		2	1	23	M	2021_Aug_01_2035	Social Reinforcement Learning	2021.1.4	60.05485302"
