trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,textbox.started,textbox.stopped,key_resp_2.keys,key_resp_2.rt,key_resp_2.started,key_resp_2.stopped,block_type,learning_type,trial_type,image_path,x_image,trial,person.started,person.stopped,text.started,text.stopped,text_2.started,text_2.stopped,key_resp.keys,key_resp.started,key_resp.stopped,text_4.started,text_4.stopped,line.started,line.stopped,text_5.started,text_5.stopped,reward_a,reward_d,reward,image.started,image.stopped,text_3.started,text_3.stopped,line_2.started,line_2.stopped,text_6.started,text_6.stopped,key_resp.rt,session,exp_id,age,sex(M or F),date,expName,psychopyVersion,frameRate,
28,0,28,0,,,,,,,Social,SD,Private,images/Private_trial.png,0.5,29,195.4156332493958,None,196.4154203107878,197.67998290170135,197.1638552712775,197.6633768507686,a,197.6633768507686,None,198.29631600405497,None,194.93812849482038,None,195.4156332493958,None,0.7,0.30000000000000004,1,198.30131050083628,None,198.7959530602716,None,198.30131050083628,None,198.30131050083628,None,0.6068924158298614,2,1,23,M,2021_Aug_02_1239,Social Reinforcement Learning,2021.1.4,59.958263061158995,
29,0,29,0,,,,,,,Social,SD,Observational,images/Observational_trial.png,-0.5,30,200.81047594741904,None,201.8095779706914,203.07471379707886,202.55890379678613,203.05814843756798,None,204.82328217012497,None,203.55936404442718,204.5886045844618,200.31297590198665,None,200.81047594741904,None,0.7,0.30000000000000004,?,204.83569238232894,None,205.32292752265084,None,204.83569238232894,None,204.83569238232894,None,,2,1,23,M,2021_Aug_02_1239,Social Reinforcement Learning,2021.1.4,59.958263061158995,
30,0,30,0,,,,,,,Social,SD,Observational,images/Observational_trial.png,-0.5,31,207.32297255975936,None,208.3439594571214,209.60229389004462,209.08579529607186,209.58559895008239,None,211.35067302822432,None,210.08662176651342,211.10077922098435,206.84003332746033,None,207.32297255975936,None,0.7,0.30000000000000004,?,211.3534113239093,None,211.8501362570055,None,211.3534113239093,None,211.3534113239093,None,,2,1,23,M,2021_Aug_02_1239,Social Reinforcement Learning,2021.1.4,59.958263061158995,
31,0,31,0,,,,,,,Social,SD,Private,images/Private_trial.png,0.5,32,213.86494556435855,None,214.86401874807916,216.13191171462586,215.61348995712024,216.11286378329123,a,216.11286378329123,None,218.47783846374483,None,213.36744670411326,None,213.86494556435855,None,0.7,0.30000000000000004,1,218.4923385557945,None,218.97698919820505,None,218.4923385557945,None,218.4923385557945,None,2.3377008793299865,2,1,23,M,2021_Aug_02_1239,Social Reinforcement Learning,2021.1.4,59.958263061158995,
32,0,32,0,,,,,,,Social,SD,Observational,images/Observational_trial.png,-0.5,33,220.99163139418306,None,221.99069746678106,223.25621650365065,222.74008808310236,223.2395361809954,None,225.00482082737113,None,223.73894477265367,224.73810368490467,220.49640769802727,None,220.99163139418306,None,0.7,0.30000000000000004,?,225.0139429356136,None,225.50402568537402,None,225.0139429356136,None,225.0139429356136,None,,2,1,23,M,2021_Aug_02_1239,Social Reinforcement Learning,2021.1.4,59.958263061158995,
33,0,33,0,,,,,,,Social,SD,Observational,images/Observational_trial.png,-0.5,34,227.50888890293572,None,228.50152296536953,229.75979655869105,229.25096138423532,229.75979655869105,None,231.5151643498894,None,230.24983545653004,231.24896947985326,227.01938570964649,None,227.50888890293572,None,0.7,0.30000000000000004,?,231.5196598829193,None,232.01465957872142,None,231.5196598829193,None,231.5196598829193,None,,2,1,23,M,2021_Aug_02_1239,Social Reinforcement Learning,2021.1.4,59.958263061158995,
34,0,34,0,,,,,,,Social,SD,Private,images/Private_trial.png,0.5,35,234.02953525654948,None,235.02852784755032,236.27753485832682,235.78005298576272,236.29396115588952,a,236.27753485832682,None,None,None,233.53510603078485,None,234.02953525654948,None,0.7,0.30000000000000004,-1,236.6094421482544,None,237.093234320173,None,236.6094421482544,None,236.6094421482544,None,0.2917318190329752,2,1,23,M,2021_Aug_02_1239,Social Reinforcement Learning,2021.1.4,59.958263061158995,
35,0,35,0,,,,,,,Social,SD,Private,images/Private_trial.png,0.5,36,239.09162483614818,None,240.09615699145797,241.3558765129901,240.83987490745676,241.33959006750047,a,241.33959006750047,None,242.07183762463234,None,238.60873972739137,None,239.09162483614818,None,0.7,0.30000000000000004,1,242.07648209616946,None,242.57151063152287,None,242.07648209616946,None,242.07648209616946,None,0.706516474494947,2,1,23,M,2021_Aug_02_1239,Social Reinforcement Learning,2021.1.4,59.958263061158995,
36,0,36,0,,,,,,,Social,SD,Private,images/Private_trial.png,0.5,37,244.5696226285395,None,245.5687712691697,246.8341966762614,246.31818124354595,246.81744761275695,a,246.81744761275695,None,247.5000314864697,None,244.08666285299796,None,244.5696226285395,None,0.7,0.30000000000000004,-1,247.5051697859476,None,247.99970844398376,None,247.5051697859476,None,247.5051697859476,None,0.6641152223055542,2,1,23,M,2021_Aug_02_1239,Social Reinforcement Learning,2021.1.4,59.958263061158995,
37,0,37,0,,,,,,,Social,SD,Private,images/Private_trial.png,0.5,38,249.99813728100708,None,250.99711723001246,252.24577540073142,251.74603219126084,252.24577540073142,a,252.24577540073142,None,252.77842758072535,None,249.51492624580942,None,249.99813728100708,None,0.7,0.30000000000000004,-1,252.78305783001724,None,253.27818987170758,None,252.78305783001724,None,252.78305783001724,None,0.5060037625739824,2,1,23,M,2021_Aug_02_1239,Social Reinforcement Learning,2021.1.4,59.958263061158995,
38,0,38,0,,,,,,,Social,SD,Observational,images/Observational_trial.png,-0.5,39,255.29291542584178,None,256.29210791839296,257.5574562883262,257.0413614480776,257.54106475625076,None,259.3059764637656,None,258.0406017431733,259.0565614720972,254.79673251829354,None,255.29291542584178,None,0.7,0.30000000000000004,?,259.3163280060494,None,259.80520542057184,261.30398270259,259.3163280060494,None,259.3163280060494,None,,2,1,23,M,2021_Aug_02_1239,Social Reinforcement Learning,2021.1.4,59.958263061158995,
39,0,39,0,,,,,,,Social,SD,Private,images/Private_trial.png,0.5,40,261.82013048119416,None,262.81920998591204,264.084750356149,263.56857926886596,264.068144700278,a,264.068144700278,None,None,None,261.3222930525126,None,261.82013048119416,None,0.7,0.30000000000000004,-1,264.29492984877834,None,264.78438247408576,None,264.29492984877834,None,264.29492984877834,None,0.20136446635387983,2,1,23,M,2021_Aug_02_1239,Social Reinforcement Learning,2021.1.4,59.958263061158995,
