"trials.thisRepN	trials.thisTrialN	trials.thisN	trials.thisIndex	textbox.started	textbox.stopped	key_resp_2.keys	key_resp_2.rt	key_resp_2.started	key_resp_2.stopped	block_type	learning_type	trial_type	image_path	x_image	trial	person.started	person.stopped	text.started	text.stopped	text_2.started	text_2.stopped	key_resp.keys	key_resp.rt	key_resp.started	key_resp.stopped	text_4.started	text_4.stopped	line.started	line.stopped	text_5.started	text_5.stopped	reward_a	reward_d	reward	image.started	image.stopped	text_3.started	text_3.stopped	line_2.started	line_2.stopped	text_6.started	text_6.stopped	session	exp_id	age	sex(M or F)	date	expName	psychopyVersion	frameRate"
"31	0	31	0							Social	SD	Observational	images/Observational_trial.png	-0.5	32	224.3717682	None	225.3710042	226.6350913	226.1192102	226.6182774	None		228.3717524	None	227.1182036	228.1377283	223.8718836	None	224.3717682	None	0.7	0.3	?	228.3993463	None	228.8830824	None	228.3993463	None	228.3993463	None	1	3	18	M	2021_Aug_01_1544	Social Reinforcement Learning	2021.1.4	60.29259602"
"32	0	32	0							Social	SD	Observational	images/Observational_trial.png	-0.5	33	230.8990468	None	231.8987904	233.148325	232.6462059	233.148325	None		234.912096	None	233.6452107	234.6606454	230.4046476	None	230.8990468	None	0.7	0.3	?	234.9346592	None	235.4220149	None	234.9346592	None	234.9346592	None	1	3	18	M	2021_Aug_01_1544	Social Reinforcement Learning	2021.1.4	60.29259602"
"33	0	33	0							Social	SD	Private	images/Private_trial.png	0.5	34	237.4582637	None	238.4576087	239.7223738	239.2124344	239.743811	a	1.285465058	239.7223738	None	241.0476724	None	236.9658821	None	237.4582637	None	0.7	0.3	1	241.086375	None	241.5717613	None	241.086375	None	241.086375	None	1	3	18	M	2021_Aug_01_1544	Social Reinforcement Learning	2021.1.4	60.29259602"
"34	0	34	0							Social	SD	Observational	images/Observational_trial.png	-0.5	35	243.6000766	None	244.5851476	245.8371541	245.3340841	245.8371541	None		247.5985188	None	246.3392531	247.3486745	243.0983118	None	243.6000766	None	0.7	0.3	?	247.6157893	None	248.1038075	None	247.6157893	None	247.6157893	None	1	3	18	M	2021_Aug_01_1544	Social Reinforcement Learning	2021.1.4	60.29259602"
"35	0	35	0							Social	SD	Private	images/Private_trial.png	0.5	36	250.1150257	None	251.1123144	252.3776325	251.8640124	252.3776325	d	1.324740089	252.3609629	None	253.7098767	None	249.6161982	None	250.1150257	None	0.7	0.3	1	253.7358327	None	254.2091526	255.710322	253.7358327	None	253.7358327	None	1	3	18	M	2021_Aug_01_1544	Social Reinforcement Learning	2021.1.4	60.29259602"
"36	0	36	0							Social	SD	Private	images/Private_trial.png	0.5	37	256.241268	None	257.2271176	258.4923485	257.9749871	258.4751688	d	2.339332473	258.4751688	None	260.8367049	None	255.7336492	None	256.241268	None	0.7	0.3	-1	260.8588781	None	261.3397275	262.856763	260.8588781	None	260.8588781	None	1	3	18	M	2021_Aug_01_1544	Social Reinforcement Learning	2021.1.4	60.29259602"
"37	0	37	0							Social	SD	Private	images/Private_trial.png	0.5	38	263.3718042	None	264.3667726	265.6338942	265.1288943	265.6338942	a	0.689992936	265.6153034	None	266.3358523	None	262.8734879	None	263.3718042	None	0.7	0.3	-1	266.3389046	None	266.8309224	None	266.3389046	None	266.3389046	None	1	3	18	M	2021_Aug_01_1544	Social Reinforcement Learning	2021.1.4	60.29259602"
"38	0	38	0							Social	SD	Observational	images/Observational_trial.png	-0.5	39	268.8456112	None	269.8619568	271.126503	270.5941167	271.0933969	None		272.8585186	None	271.5990976	272.6084617	268.3606464	None	268.8456112	None	0.7	0.3	?	272.8795703	None	273.3730608	None	272.8795703	None	272.8795703	None	1	3	18	M	2021_Aug_01_1544	Social Reinforcement Learning	2021.1.4	60.29259602"
"39	0	39	0							Social	SD	Private	images/Private_trial.png	0.5	40	275.3898932	None	276.3905494	277.6538393	277.1379357	277.6370176	a	1.406624864	277.6370176	None	279.0693648	None	274.8897561	None	275.3898932	None	0.7	0.3	1	279.0808023	None	279.566968	281.0690552	279.0808023	None	279.0808023	None	1	3	18	M	2021_Aug_01_1544	Social Reinforcement Learning	2021.1.4	60.29259602"
"40	0	40	0							Social	SD	Private	images/Private_trial.png	0.5	41	281.5671644	None	282.5658382	283.8148533	283.3403106	283.8481747	a	0.951158952	283.8315434	None	284.8137273	None	281.0845854	None	281.5671644	None	0.7	0.3	1	284.818715	None	285.3133137	None	284.818715	None	284.818715	None	1	3	18	M	2021_Aug_01_1544	Social Reinforcement Learning	2021.1.4	60.29259602"
